FID	IID	CLASS	PRO	TOL	MIX	VOL
NE01481	NE01481	HARD	11.2	4	5.78	930
NE05496	NE05496	HARD	11.9	5.4	8.5	893
NE06430	NE06430	HARD	12.7	3.3	8.79	855
NE06545	NE06545	MIXED	11.7	3.3	7.97	840
NE06607	NE06607	HARD	13.2	4.8	5.59	730
NE07486	NE07486	HARD	12.6	5.4	6.75	908
NE07531	NE07531	HARD	11	4.1	7.67	950
NE08499	NE08499	HARD	13	4.5	5.58	848
NE08659	NE08659	HARD	12	4.6	4.42	850
NE09517	NE09517	HARD	11.8	4.4	8.75	873
NE09517-1	NE09517_1	MIXED	12.9	4.6	6.67	1050
NE09517-6	NE09517_6	HARD	10.8	3.8	6	925
NE09521	NE09521	HARD	13.1	5.1	5.63	795
NE10418	NE10418	HARD	12.7	4.3	5.97	874
NE10442	NE10442	HARD	14.2	4.4	6.27	888
NE10478	NE10478	HARD	12.2	4.4	4.01	840
NE10478-1	NE10478_1	HARD	13.9	4.2	4	1050
NE10507	NE10507	HARD	11.5	4.8	7.08	878
NE10625	NE10625	HARD	12.3	4.4	4.06	795
NE10683	NE10683	MIXED	10.3	4.1	5.96	843
NE11415	NE11415	HARD	12.6	4.6	7.29	863
NE11455	NE11455	HARD	11.3	3.8	5.1	838
NE11472	NE11472	HARD	11.8	4.5	5.19	810
NE11482	NE11482	HARD	12.6	4.4	6.07	808
NE11499	NE11499	HARD	15	5.8	8.46	840
NE11536	NE11536	HARD	13.1	3.8	6.63	863
NE11560	NE11560	HARD	14.3	5.1	6.97	893
NE11607	NE11607	HARD	11.6	2.3	3.69	838
NE11688	NE11688	MIXED	11.5	3	3.73	808
NE12408	NE12408	HARD     	12.2	4.2	4.88	936
NE12409	NE12409	HARD     	11.3	3.7	4.81	945
NE12429	NE12429	HARD     	12.3	3.4	3.81	947
NE12430	NE12430	HARD     	12.8	3.6	4.14	906
NE12438	NE12438	MIXED    	12.4	3.4	4.98	893
NE12439	NE12439	MIXED    	12	3.2	4.36	871
NE12439-H	NE12439_H	HARD	11.1	3.8	6.5	865
NE12443	NE12443	HARD     	14.6	2.3	3.74	913
NE12444	NE12444	HARD     	14.4	2.9	4.78	970
NE12461	NE12461	SOFT     	11.5	1.1	3	908
NE12464	NE12464	SOFT     	12.1	3.6	5.19	888
NE12483V	NE12483V	HARD     	13.6	4.8	7.69	888
NE12488	NE12488	HARD     	12.4	3.1	3.04	936
NE12510W	NE12510W	HARD     	14.9	4.2	3.94	956
NE12518	NE12518	HARD     	12.7	4.3	6.78	925
NE12524	NE12524	HARD     	12.9	4	4.14	936
NE12561	NE12561	HARD     	13.4	3.4	3.66	944
NE12571	NE12571	HARD     	14.1	2.6	4.2	945
NE12580	NE12580	HARD     	15.5	3.3	4.23	959
NE12589	NE12589	HARD     	14.5	4.3	5.68	946
NE12630	NE12630	MIXED    	12.2	3.1	6.22	899
NE12637	NE12637	HARD     	12.9	4.6	6.23	979
NE12662	NE12662	HARD     	11.9	4.9	6.74	933
NE12686	NE12686	HARD     	13	4.8	6.31	879
NE13405	NE13405	HARD	14.4	4.3	5.54	968
NE13425	NE13425	HARD	12.7	4.4	4.9	968
NE13425-1	NE13425_1	HARD	12.07	6.5	7.4	800
NE13434	NE13434	HARD	14.9	2.9	3.3	948
NE13434-1	NE13434_1	HARD	12.75	5.25	7.25	880
NE13445	NE13445	HARD	13.4	4.1	6.34	1038
NE13483V	NE13483V	HARD	13	4.3	5.89	925
NE13511	NE13511	HARD	13	3.9	4.56	938
NE13515	NE13515	HARD	12.6	3.7	4.16	928
NE13554	NE13554	HARD	13.6	3.9	8.09	1013
NE13593	NE13593	HARD	12.2	3.6	5.16	950
NE13597	NE13597	HARD	14.4	2.6	4.01	998
NE13604	NE13604	HARD	12.7	4.3	5.48	1000
NE13625	NE13625	HARD	13.1	4	4.92	898
NE13629	NE13629	HARD	12.8	2.6	3.68	953
NE13660	NE13660	HARD	13	4.3	6.43	940
NE13672	NE13672	HARD	11.6	4.3	7.13	873
NE13683	NE13683	HARD	11.7	4	4.87	988
